Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	BTBD8	284697	Q5XKL5	BTB domain containing 8		125	0.547	0.692	6.077e-07	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ANPEP	290	P15144	alanyl aminopeptidase, membrane	Enzyme	280	0.462	0.769	3.7492e-09	0.03		1.0	3	0	2012.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD274	29126	Q9NZQ7	CD274 molecule	Receptor	1011	0.324	0.923	0.01916	0.03		0.667	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GZMB	3002	P10144	granzyme B	Enzyme	290	0.453	0.808	3.6674e-14	0.03		1.0	3	0	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ANXA1	301	P04083	annexin A1		336	0.442	0.885	1.2009e-07	0.03		1.0	3	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HP	3240	P00738	haptoglobin	Enzyme	464	0.412	0.885	1.736e-05	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL2	3558	P60568	interleukin 2		950	0.336	0.885	0.47968	0.03		1.0	3	0	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL5RA	3568	Q01344	interleukin 5 receptor subunit alpha	Signaling	48	0.647	0.654	2.6791e-08	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITGB2	3689	P05107	integrin subunit beta 2	Receptor	340	0.444	0.923	5.0817e-15	0.03		1.0	3	0	1998.0	2019.0
Chronic Obstructive Airway Disease	C0024117	JAK3	3718	P52333	Janus kinase 3	Kinase	194	0.505	0.731	5.9311e-06	0.03		1.0	3	1	2016.0	2018.0
Chronic Obstructive Airway Disease	C0024117	KDR	3791	P35968	kinase insert domain receptor	Kinase	623	0.378	0.885	0.99982	0.03		1.0	3	0	2006.0	2018.0
Chronic Obstructive Airway Disease	C0024117	LCN2	3934	P80188	lipocalin 2	Enzyme	497	0.405	0.885	1.1404e-09	0.03		1.0	3	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PIM3	415116	Q86V86	Pim-3 proto-oncogene, serine/threonine kinase		62	0.621	0.654	0.98192	0.03		1.0	3	0	2005.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MCAM	4162	P43121	melanoma cell adhesion molecule	Cell adhesion	169	0.514	0.731	0.00015954	0.03		1.0	3	0	2003.0	2016.0
Chronic Obstructive Airway Disease	C0024117	NR3C2	4306	P08235	nuclear receptor subfamily 3 group C member 2	Nuclear receptor	287	0.469	0.846	0.83739	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMP7	4316	P09237	matrix metallopeptidase 7	Enzyme	320	0.446	0.885	1.0404e-09	0.03		1.0	3	0	2012.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MRC1	4360	P22897	mannose receptor C-type 1		431	0.413	0.846	0.94335	0.03		1.0	3	0	2014.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ABCC1	4363	P33527	ATP binding cassette subfamily C member 1	Transporter	333	0.445	0.808	0.0011727	0.03		1.0	3	0	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NPPB	4879	P16860	natriuretic peptide B		193	0.513	0.808	9.8786e-06	0.03		1.0	3	1	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD207	50489	Q9UJ71	CD207 molecule	Receptor	50	0.631	0.692	2.8182e-06	0.03		1.0	3	0	2010.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ADIPOR1	51094	Q96A54	adiponectin receptor 1	Receptor	148	0.529	0.808	0.6584	0.03		1.0	3	0	2009.0	2016.0
Chronic Obstructive Airway Disease	C0024117	PDCD1	5133	Q15116	programmed cell death 1		497	0.402	0.846	0.41706	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	Transporter	933	0.344	0.885	1.2564e-05	0.03		1.0	3	1	2010.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PIGR	5284	P01833	polymeric immunoglobulin receptor		71	0.615	0.808	0.81331	0.03		1.0	3	0	2016.0	2020.0
Chronic Obstructive Airway Disease	C0024117	PLA2G1B	5319	P04054	phospholipase A2 group IB	Enzyme	268	0.468	0.846	1.0057e-10	0.03		1.0	3	0	2005.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TLR9	54106	Q9NR96	toll like receptor 9		457	0.411	0.885	9.8117e-06	0.03		1.0	3	0	2013.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TUG1	55000		taurine up-regulated 1		134	0.522	0.769		0.03		1.0	3	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL26	55801	Q9NPH9	interleukin 26		51	0.631	0.538	0.00053514	0.03		1.0	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MOK	5891	Q9UQ07	MOK protein kinase	Kinase	251	0.476	0.769	8.8397e-22	0.03		1.0	3	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLAAT4	5920	Q9UL19	phospholipase A and acyltransferase 4		190	0.5	0.808	1.2234e-07	0.03		1.0	3	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCND1	595	P24385	cyclin D1	Enzyme modulator	859	0.344	0.923	0.89057	0.03		1.0	3	0	2015.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.03		1.0	3	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	S100A8	6279	P05109	S100 calcium binding protein A8	Calcium-binding protein	369	0.43	0.962	0.13761	0.03		0.667	3	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	S100A9	6280	P06702	S100 calcium binding protein A9	Calcium-binding protein	363	0.433	0.885	0.4777	0.03		1.0	3	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SAA1	6288	P0DJI8	serum amyloid A1	Transporter	188	0.513	0.808	0.01493	0.03		0.667	3	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SAA2	6289	P0DJI9	serum amyloid A2	Transporter	103	0.568	0.731	2.7019e-06	0.03		0.667	3	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCL11	6356	P51671	C-C motif chemokine ligand 11	Signaling	250	0.473	0.885	0.010211	0.03		1.0	3	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CXCL5	6374	P42830	C-X-C motif chemokine ligand 5	Signaling	160	0.519	0.769	5.0431e-06	0.03		1.0	3	0	2003.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CX3CL1	6376	P78423	C-X3-C motif chemokine ligand 1	Signaling	243	0.478	0.808	0.60837	0.03		1.0	3	0	2019.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ROBO3	64221	Q96MS0	roundabout guidance receptor 3	Receptor	154	0.52	0.808	1.9977e-15	0.03		1.0	3	0	2016.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC2A1	6513	P11166	solute carrier family 2 member 1	Transporter	687	0.388	0.808	0.9941	0.03		1.0	3	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SFTPA1	653509	Q8IWL2	surfactant protein A1		139	0.546	0.808	0.0003678	0.03		1.0	3	2	2005.0	2013.0
Chronic Obstructive Airway Disease	C0024117	STAR	6770	P49675	steroidogenic acute regulatory protein		177	0.513	0.808	8.7679e-11	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	STAT6	6778	P42226	signal transducer and activator of transcription 6	Nucleic acid binding	281	0.475	0.808	0.98849	0.03		1.0	3	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TAC1	6863	P20366	tachykinin precursor 1		478	0.424	0.923	0.74608	0.03		1.0	3	0	2000.0	2005.0
Chronic Obstructive Airway Disease	C0024117	TFAM	7019	Q00059	transcription factor A, mitochondrial		147	0.529	0.731	0.17259	0.03		1.0	3	0	2013.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CCR2	729230	P41597	C-C motif chemokine receptor 2		436	0.418	0.846	0.023412	0.03		1.0	3	1	2000.0	2017.0
Chronic Obstructive Airway Disease	C0024117	YWHAZ	7534	P63104	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Chaperone	247	0.475	0.846	0.93965	0.03		1.0	3	0	2005.0	2016.0
Chronic Obstructive Airway Disease	C0024117	SLC52A2	79581	Q9HAB3	solute carrier family 52 member 2	Transporter	261	0.483	0.808	0.0024777	0.03		1.0	3	0	2003.0	2015.0
Chronic Obstructive Airway Disease	C0024117	FGF23	8074	Q9GZV9	fibroblast growth factor 23	Signaling	305	0.46	0.731	0.031014	0.03		0.667	3	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CASP4	837	P49662	caspase 4	Enzyme	53	0.636	0.654	3.0474e-08	0.03		1.0	3	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MARCO	8685	Q9UEW3	macrophage receptor with collagenous structure		42	0.659	0.5	7.7683e-21	0.03		1.0	3	0	2011.0	2014.0
Chronic Obstructive Airway Disease	C0024117	SQSTM1	8878	Q13501	sequestosome 1		470	0.428	0.885	0.00086035	0.03		1.0	3	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SOCS3	9021	O14543	suppressor of cytokine signaling 3	Enzyme modulator	375	0.434	0.808	0.74613	0.03		1.0	3	0	2014.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CD14	929	P08571	CD14 molecule		551	0.392	0.885	4.8813e-05	0.03		1.0	3	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CD163	9332	Q86VB7	CD163 molecule	Enzyme	369	0.427	0.846	0.0008338	0.03		1.0	3	0	2014.0	2019.0
Chronic Obstructive Airway Disease	C0024117	KL	9365	Q9UEF7	klotho	Enzyme	332	0.448	0.769	0.00022444	0.03		1.0	3	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD80	941	P33681	CD80 molecule		233	0.475	0.769	0.010898	0.03		1.0	3	0	2005.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ENTPD1	953	P49961	ectonucleoside triphosphate diphosphohydrolase 1	Enzyme	206	0.499	0.769	0.0080716	0.03		1.0	3	0	2015.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD68	968	P34810	CD68 molecule	Transporter	452	0.408	0.808	1.4063e-06	0.03		0.667	3	0	2010.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NAT2	10	P11245	N-acetyltransferase 2	Enzyme	311	0.451	0.885	3.2744e-06	0.02		1.0	2	0	2003.0	2007.0
Chronic Obstructive Airway Disease	C0024117	ZGLP1	100125288	P0C6A0	zinc finger GATA like protein 1		186	0.512	0.808	0.3868	0.02		1.0	2	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HDAC5	10014	Q9UQL6	histone deacetylase 5	Epigenetic regulator	114	0.552	0.769	1.0	0.02		1.0	2	0	2013.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ADAM8	101	P78325	ADAM metallopeptidase domain 8	Enzyme	81	0.59	0.731	2.1983e-14	0.02		1.0	2	0	2014.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ERICD	104355217		E2F1-regulated inhibitor of cell death		36	0.691	0.654		0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CXCL13	10563	O43927	C-X-C motif chemokine ligand 13	Signaling	246	0.472	0.731	0.82566	0.02		1.0	2	0	2013.0	2014.0
Chronic Obstructive Airway Disease	C0024117	KHDRBS1	10657	Q07666	KH RNA binding domain containing, signal transduction associated 1	Nucleic acid binding	289	0.457	0.846	0.99423	0.02		1.0	2	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CXCR6	10663	O00574	C-X-C motif chemokine receptor 6	G-protein coupled receptor	325	0.448	0.885	5.7212e-05	0.02		1.0	2	0	2007.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SDS	10993	P20132	serine dehydratase	Enzyme	139	0.534	0.769	0.00013923	0.02		1.0	2	0	2016.0	2020.0
Chronic Obstructive Airway Disease	C0024117	WDHD1	11169	O75717	WD repeat and HMG-box DNA binding protein 1	Nucleic acid binding	161	0.529	0.846	4.3694e-18	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	GPR182	11318	O15218	G protein-coupled receptor 182	G-protein coupled receptor	37	0.691	0.462	0.00013704	0.02		1.0	2	0	2003.0	2003.0
Chronic Obstructive Airway Disease	C0024117	ACOT7	11332	O00154	acyl-CoA thioesterase 7	Enzyme	146	0.531	0.769	0.75926	0.02		1.0	2	0	1993.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CHRNA1	1134	P02708	cholinergic receptor nicotinic alpha 1 subunit	Ion channel	109	0.615	0.577	2.0681e-08	0.02		1.0	2	0	2011.0	2012.0
Chronic Obstructive Airway Disease	C0024117	GSTO2	119391	Q9H4Y5	glutathione S-transferase omega 2		53	0.631	0.692	2.6125e-09	0.02		1.0	2	1	2009.0	2012.0
Chronic Obstructive Airway Disease	C0024117	COL4A3	1285	Q01955	collagen type IV alpha 3 chain		119	0.552	0.692	1.0699e-12	0.02		1.0	2	1	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADM	133	P35318	adrenomedullin	Signaling	405	0.436	0.808	0.040831	0.02		1.0	2	0	2003.0	2003.0
Chronic Obstructive Airway Disease	C0024117	COX8A	1351	P10176	cytochrome c oxidase subunit 8A	Enzyme	526	0.4	0.846	0.11606	0.02		1.0	2	0	2007.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CPOX	1371	P36551	coproporphyrinogen oxidase	Enzyme	246	0.488	0.846	0.17152	0.02		1.0	2	0	2007.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CS	1431	O75390	citrate synthase	Enzyme	87	0.59	0.654	0.98402	0.02		1.0	2	0	2010.0	2018.0
Chronic Obstructive Airway Disease	C0024117	VCAN	1462	P13611	versican	Extracellular structure	205	0.497	0.808	1.0	0.02		1.0	2	0	2012.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CTH	1491	P32929	cystathionine gamma-lyase	Enzyme	93	0.578	0.615	7.482e-08	0.02		1.0	2	0	2015.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CTSG	1511	P08311	cathepsin G	Enzyme	95	0.563	0.731	9.5595e-06	0.02		1.0	2	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADRB1	153	P08588	adrenoceptor beta 1	G-protein coupled receptor	130	0.555	0.769	2.8786e-06	0.02		1.0	2	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CYP1B1	1545	Q16678	cytochrome P450 family 1 subfamily B member 1	Enzyme	304	0.457	0.769	2.2024e-05	0.02		1.0	2	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYP2B6	1555	P20813	cytochrome P450 family 2 subfamily B member 6		388	0.428	0.846	1.9303e-10	0.02		1.0	2	3	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYP2E1	1571	P05181	cytochrome P450 family 2 subfamily E member 1		306	0.459	0.885	8.0688e-09	0.02		1.0	2	0	2007.0	2013.0
Chronic Obstructive Airway Disease	C0024117	CYP3A5	1577	P20815	cytochrome P450 family 3 subfamily A member 5	Enzyme	179	0.511	0.846	6.2948e-17	0.02		1.0	2	1	2008.0	2014.0
Chronic Obstructive Airway Disease	C0024117	DBP	1628	Q10586	D-box binding PAR bZIP transcription factor	Nucleic acid binding	105	0.556	0.731	0.23376	0.02		1.0	2	0	2011.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DMD	1756	P11532	dystrophin		484	0.423	0.923	1.0	0.02		1.0	2	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SARDH	1757	Q9UL12	sarcosine dehydrogenase	Enzyme	166	0.523	0.846	5.2689e-16	0.02		1.0	2	0	2016.0	2020.0
Chronic Obstructive Airway Disease	C0024117	AGT	183	P01019	angiotensinogen	Enzyme modulator	765	0.367	0.923	4.9706e-08	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HBEGF	1839	Q99075	heparin binding EGF like growth factor	Signaling	155	0.52	0.769	0.07563	0.02		1.0	2	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ELK3	2004	P41970	ETS transcription factor ELK3	Transcription factor	220	0.49	0.846	0.083508	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MARK2	2011	Q7KZI7	microtubule affinity regulating kinase 2	Kinase	115	0.555	0.692	0.99999	0.02		1.0	2	0	2003.0	2014.0
Chronic Obstructive Airway Disease	C0024117	EPHB1	2047	P54762	EPH receptor B1	Kinase	169	0.518	0.846	0.9985	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	F2RL1	2150	P55085	F2R like trypsin receptor 1	G-protein coupled receptor	256	0.48	0.769	0.00014843	0.02		1.0	2	0	2008.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ALDH2	217	P05091	aldehyde dehydrogenase 2 family member	Enzyme	337	0.457	0.885	3.3959e-10	0.02		1.0	2	0	2014.0	2015.0
Chronic Obstructive Airway Disease	C0024117	FABP5	2171	Q01469	fatty acid binding protein 5		85	0.585	0.731	0.047008	0.02		1.0	2	0	2013.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FGF2	2247	P09038	fibroblast growth factor 2	Signaling	635	0.383	0.923	0.0184	0.02		1.0	2	0	2010.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FGFR4	2264	P22455	fibroblast growth factor receptor 4	Kinase	220	0.49	0.769	7.1917e-13	0.02		1.0	2	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FKBP5	2289	Q13451	FKBP prolyl isomerase 5	Enzyme	179	0.524	0.769	0.73393	0.02		1.0	2	1	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TBC1D9	23158	Q6ZT07	TBC1 domain family member 9	Enzyme	491	0.399	0.846	2.8039e-05	0.02		1.0	2	0	2010.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FLNA	2316	P21333	filamin A		571	0.419	0.846	1.0	0.02		1.0	2	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	BRD4	23476	O60885	bromodomain containing 4	Epigenetic regulator	335	0.446	0.885	1.0	0.02		1.0	2	0	2015.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.02		1.0	2	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NUP62	23636	P37198	nucleoporin 62	Transporter	273	0.47	0.885	0.95006	0.02		1.0	2	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ALK	238	Q9UM73	ALK receptor tyrosine kinase	Kinase	519	0.396	0.846	3.2299e-06	0.02		1.0	2	0	2015.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ABCA4	24	P78363	ATP binding cassette subfamily A member 4	Transporter	227	0.493	0.769	5.3499e-48	0.02		1.0	2	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MTOR	2475	P42345	mechanistic target of rapamycin kinase	Kinase	960	0.343	0.885	1.0	0.02		1.0	2	0	2018.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BAMBI	25805	Q13145	BMP and activin membrane bound inhibitor		60	0.619	0.692	0.00021381	0.02		1.0	2	0	2010.0	2016.0
Chronic Obstructive Airway Disease	C0024117	PART1	25859		prostate androgen-regulated transcript 1		250	0.483	0.885		0.02		1.0	2	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GALNS	2588	P34059	galactosamine (N-acetyl)-6-sulfatase	Enzyme	138	0.56	0.808	2.9611e-10	0.02		1.0	2	0	2013.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLA2G2D	26279	Q9UNK4	phospholipase A2 group IID	Enzyme	22	0.716	0.423	1.8079e-05	0.02		1.0	2	1	2005.0	2009.0
Chronic Obstructive Airway Disease	C0024117	SIGLEC9	27180	Q9Y336	sialic acid binding Ig like lectin 9	Receptor	36	0.666	0.423	2.5343e-05	0.02		1.0	2	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	GCLM	2730	P48507	glutamate-cysteine ligase modifier subunit	Enzyme	78	0.588	0.846	0.99011	0.02		0.5	2	0	2000.0	2010.0
Chronic Obstructive Airway Disease	C0024117	GPR15	2838	P49685	G protein-coupled receptor 15	G-protein coupled receptor	18	0.743	0.308	1.1106e-06	0.02		1.0	2	0	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SUMF1	285362	Q8NBK3	sulfatase modifying factor 1		80	0.641	0.538	2.2828e-08	0.02		1.0	2	2	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GSR	2936	P00390	glutathione-disulfide reductase	Enzyme	206	0.494	0.846	1.2922e-06	0.02		1.0	2	1	2003.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GTF2H1	2965	P32780	general transcription factor IIH subunit 1	Transcription factor	258	0.469	0.846	0.98982	0.02		1.0	2	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HBE1	3046	P02100	hemoglobin subunit epsilon 1		41	0.686	0.269	0.019963	0.02		1.0	2	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	HCK	3055	P08631	HCK proto-oncogene, Src family tyrosine kinase	Kinase	39	0.663	0.5	0.01976	0.02		1.0	2	0	2007.0	2012.0
Chronic Obstructive Airway Disease	C0024117	HGF	3082	P14210	hepatocyte growth factor	Enzyme	671	0.374	0.885	0.99947	0.02		1.0	2	0	2008.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HLA-A	3105	P04439	major histocompatibility complex, class I, A		672	0.37	0.846	0.0013299	0.02		1.0	2	0	2015.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HOXA@	3197		homeobox A cluster		66	0.599	0.654		0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA1	3198	P49639	homeobox A1		95	0.575	0.769	0.28514	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA3	3200	O43365	homeobox A3		36	0.695	0.538	0.9445	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA4	3201	Q00056	homeobox A4		37	0.663	0.5	8.5959e-06	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA5	3202	P20719	homeobox A5	Transcription factor	79	0.595	0.577	0.0029693	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA6	3203	P31267	homeobox A6	Transcription factor	18	0.736	0.5	2.9887e-06	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA7	3204	P31268	homeobox A7	Transcription factor	43	0.65	0.5	0.0013606	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA9	3205	P31269	homeobox A9		147	0.521	0.692	4.3591e-05	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA10	3206	P31260	homeobox A10		122	0.538	0.692	0.88453	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA11	3207	P31270	homeobox A11		111	0.568	0.692	0.94342	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	HOXA13	3209	P31271	homeobox A13		126	0.552	0.654	0.9551	0.02		1.0	2	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	APCS	325	P02743	amyloid P component, serum		141	0.531	0.808	0.031714	0.02		1.0	2	0	2017.0	2018.0
Chronic Obstructive Airway Disease	C0024117	HSPD1	3329	P10809	heat shock protein family D (Hsp60) member 1		398	0.432	0.808	0.99257	0.02		1.0	2	0	2011.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TNC	3371	P24821	tenascin C		369	0.433	0.846	1.2592e-07	0.02		1.0	2	0	2015.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ACTBL2	345651	Q562R1	actin beta like 2		134	0.539	0.769	5.8166e-16	0.02		1.0	2	0	1993.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL11	3589	P20809	interleukin 11		244	0.481	0.808	0.00031772	0.02		1.0	2	0	2004.0	2016.0
Chronic Obstructive Airway Disease	C0024117	IL12B	3593	P29460	interleukin 12B	Signaling	249	0.48	0.885	0.00011439	0.02		1.0	2	1	2009.0	2012.0
